GHI_inst,timestamp
738.75,29/08/2023 2:00:00
740.4245,29/08/2023 2:05:00
742.7885,29/08/2023 2:10:00
748.206,29/08/2023 2:15:00
753.2295,29/08/2023 2:20:00
768.694,29/08/2023 2:25:00
771.3535,29/08/2023 2:30:00
712.549,29/08/2023 2:35:00
737.0755,29/08/2023 2:40:00
737.8635,29/08/2023 2:45:00
682.7035,29/08/2023 2:50:00
742.099,29/08/2023 2:55:00
739.341,29/08/2023 3:00:00
