GHI_inst,AirT_inst,timestamp
728.937,19.4833,29/08/2023 2:05:00
728.64,19.4439,29/08/2023 2:10:00
726.759,19.503,29/08/2023 2:15:00
726.66,19.1681,29/08/2023 2:20:00
724.779,19.306,29/08/2023 2:25:00
722.205,18.8529,29/08/2023 2:30:00
719.829,18.84305,29/08/2023 2:35:00
715.473,19.11885,29/08/2023 2:40:00
710.523,19.4833,29/08/2023 2:45:00
705.969,19.55225,29/08/2023 2:50:00
701.514,19.57195,29/08/2023 2:55:00
695.376,19.63105,29/08/2023 3:00:00
