GHI_inst,AirT_inst,timestamp
746.9,17.71,28/08/2023 2:00:00
746.8,17.57,28/08/2023 2:05:00
750,17.82,28/08/2023 2:10:00
747.8,18.4,28/08/2023 2:00:00
743.6,18.2,28/08/2023 2:00:00
740.8,18.65,28/08/2023 2:00:00
737.2,17.87,28/08/2023 2:00:00
735.1,18.47,28/08/2023 2:00:00
734.1,18.85,28/08/2023 2:00:00
733.6,18.48,28/08/2023 2:00:00
728.4,18.6,28/08/2023 2:00:00
721.7,18.41,28/08/2023 2:00:00
733.4,18.57,28/08/2023 2:00:00
