GHI_inst,AirT_inst,timestamp
120.9,21.88,29/08/2023 2:05:00
127.8,21.79,29/08/2023 2:10:00
147,21.29,29/08/2023 2:15:00
129.3,20.81,29/08/2023 2:20:00
110.6,20.7,29/08/2023 2:25:00
113.5,20.46,29/08/2023 2:30:00
108.6,20.25,29/08/2023 2:35:00
114.1,20.02,29/08/2023 2:40:00
116.4,20.1,29/08/2023 2:45:00
106.5,20,29/08/2023 2:50:00
103.4,20.14,29/08/2023 2:55:00
126.6,19.9,29/08/2023 3:00:00
