GHI_inst,timestamp
750,29/08/2023 2:00:00
751.7,29/08/2023 2:05:00
754.1,29/08/2023 2:10:00
759.6,29/08/2023 2:15:00
764.7,29/08/2023 2:20:00
780.4,29/08/2023 2:25:00
783.1,29/08/2023 2:30:00
723.4,29/08/2023 2:35:00
748.3,29/08/2023 2:40:00
749.1,29/08/2023 2:45:00
693.1,29/08/2023 2:50:00
753.4,29/08/2023 2:55:00
750.6,29/08/2023 3:00:00
