WS_avg,WD_avg,timestamp
1.443,190.4,29/08/2023 2:00:00
1.634,37.11,29/08/2023 2:05:00
1.806,229.1,29/08/2023 2:10:00
2.642,303.9,29/08/2023 2:15:00
2.633,274.6,29/08/2023 2:20:00
2.266,311.9,29/08/2023 2:25:00
2.716,322.9,29/08/2023 2:30:00
2.578,310.6,29/08/2023 2:35:00
2.992,315.1,29/08/2023 2:40:00
2.395,298,29/08/2023 2:45:00
2.533,292.8,29/08/2023 2:50:00
1.913,274.1,29/08/2023 2:55:00
2.237,295.5,29/08/2023 3:00:00
